상품ID_A,상품ID_B,동시조회_횟수,카테고리_A,카테고리_B
P00095,P00105,8,신발,신발
P00044,P00045,8,코트,코트
P00162,P00165,8,셔츠,셔츠
P00019,P00028,8,아우터,아우터
P00020,P00022,8,아우터,아우터
P00125,P00132,8,액세서리,액세서리
P00091,P00104,8,신발,신발
P00047,P00050,8,가디건,가디건
P00031,P00038,8,코트,코트
P00122,P00128,8,액세서리,액세서리
P00054,P00055,8,가디건,가디건
P00054,P00059,8,가디건,가디건
P00051,P00052,8,가디건,가디건
P00052,P00053,8,가디건,가디건
P00126,P00133,8,액세서리,액세서리
P00092,P00095,7,신발,신발
P00097,P00099,7,신발,신발
P00087,P00089,7,청바지,청바지
P00071,P00074,7,니트,니트
P00143,P00145,7,스커트,스커트
P00128,P00135,7,액세서리,액세서리
P00107,P00109,7,가방,가방
P00121,P00126,7,액세서리,액세서리
P00046,P00047,7,가디건,가디건
P00026,P00030,7,아우터,아우터
P00152,P00154,7,셔츠,셔츠
P00132,P00133,7,액세서리,액세서리
P00092,P00099,7,신발,신발
P00097,P00098,7,신발,신발
P00020,P00026,7,아우터,아우터
P00156,P00164,7,셔츠,셔츠
P00054,P00058,7,가디건,가디건
P00049,P00057,7,가디건,가디건
P00083,P00088,7,청바지,청바지
P00021,P00030,7,아우터,아우터
P00098,P00104,7,신발,신발
P00161,P00162,7,셔츠,셔츠
P00116,P00119,7,가방,가방
P00016,P00030,7,아우터,아우터
P00047,P00049,7,가디건,가디건
P00099,P00102,7,신발,신발
P00157,P00159,7,셔츠,셔츠
P00121,P00124,7,액세서리,액세서리
P00047,P00048,7,가디건,가디건
P00096,P00098,7,신발,신발
P00033,P00043,7,코트,코트
P00112,P00117,7,가방,가방
P00038,P00044,7,코트,코트
P00041,P00045,7,코트,코트
P00093,P00102,7,신발,신발
P00164,P00165,7,셔츠,셔츠
P00151,P00154,7,셔츠,셔츠
P00141,P00145,7,스커트,스커트
P00038,P00039,7,코트,코트
P00046,P00051,7,가디건,가디건
P00091,P00093,7,신발,신발
P00094,P00095,7,신발,신발
P00082,P00087,7,청바지,청바지
P00055,P00057,7,가디건,가디건
P00052,P00060,7,가디건,가디건
P00092,P00094,7,신발,신발
P00031,P00042,7,코트,코트
P00035,P00036,7,코트,코트
P00124,P00126,7,액세서리,액세서리
P00093,P00099,7,신발,신발
P00091,P00099,7,신발,신발
P00039,P00040,7,코트,코트
P00031,P00035,7,코트,코트
P00047,P00060,7,가디건,가디건
P00126,P00130,7,액세서리,액세서리
P00156,P00163,7,셔츠,셔츠
P00128,P00134,7,액세서리,액세서리
P00159,P00165,7,셔츠,셔츠
P00138,P00147,7,스커트,스커트
P00095,P00103,7,신발,신발
P00152,P00163,7,셔츠,셔츠
P00109,P00118,7,가방,가방
P00139,P00145,7,스커트,스커트
P00099,P00104,7,신발,신발
P00032,P00040,7,코트,코트
P00151,P00159,7,셔츠,셔츠
P00040,P00042,7,코트,코트
P00137,P00139,7,스커트,스커트
P00068,P00074,7,니트,니트
P00016,P00019,7,아우터,아우터
P00137,P00149,7,스커트,스커트
P00031,P00032,7,코트,코트
P00036,P00040,7,코트,코트
P00050,P00060,7,가디건,가디건
P00055,P00060,7,가디건,가디건
P00142,P00146,6,스커트,스커트
P00036,P00044,6,코트,코트
P00037,P00040,6,코트,코트
P00082,P00084,6,청바지,청바지
P00077,P00088,6,청바지,청바지
P00124,P00130,6,액세서리,액세서리
P00051,P00054,6,가디건,가디건
P00031,P00037,6,코트,코트
P00133,P00134,6,액세서리,액세서리
P00037,P00043,6,코트,코트
P00122,P00125,6,액세서리,액세서리
P00016,P00020,6,아우터,아우터
P00136,P00143,6,스커트,스커트
P00048,P00058,6,가디건,가디건
P00133,P00135,6,액세서리,액세서리
P00136,P00142,6,스커트,스커트
P00139,P00146,6,스커트,스커트
P00046,P00048,6,가디건,가디건
P00020,P00028,6,아우터,아우터
P00033,P00039,6,코트,코트
P00039,P00044,6,코트,코트
P00091,P00098,6,신발,신발
P00049,P00054,6,가디건,가디건
P00124,P00131,6,액세서리,액세서리
P00049,P00058,6,가디건,가디건
P00151,P00165,6,셔츠,셔츠
P00017,P00020,6,아우터,아우터
P00028,P00030,6,아우터,아우터
P00040,P00044,6,코트,코트
P00053,P00054,6,가디건,가디건
P00093,P00104,6,신발,신발
P00054,P00056,6,가디건,가디건
P00151,P00156,6,셔츠,셔츠
P00051,P00060,6,가디건,가디건
P00049,P00055,6,가디건,가디건
P00113,P00119,6,가방,가방
P00035,P00044,6,코트,코트
P00016,P00026,6,아우터,아우터
P00100,P00102,6,신발,신발
P00124,P00125,6,액세서리,액세서리
P00092,P00098,6,신발,신발
P00019,P00020,6,아우터,아우터
P00093,P00098,6,신발,신발
P00096,P00102,6,신발,신발
P00151,P00158,6,셔츠,셔츠
P00093,P00094,6,신발,신발
P00047,P00056,6,가디건,가디건
P00151,P00164,6,셔츠,셔츠
P00043,P00045,6,코트,코트
P00080,P00082,6,청바지,청바지
P00137,P00142,6,스커트,스커트
P00051,P00056,6,가디건,가디건
P00037,P00045,6,코트,코트
P00022,P00028,6,아우터,아우터
P00049,P00051,6,가디건,가디건
P00033,P00041,6,코트,코트
P00053,P00058,6,가디건,가디건
P00031,P00044,6,코트,코트
P00151,P00157,6,셔츠,셔츠
P00046,P00057,6,가디건,가디건
P00032,P00036,6,코트,코트
P00151,P00152,6,셔츠,셔츠
P00031,P00033,6,코트,코트
P00053,P00057,6,가디건,가디건
P00054,P00057,6,가디건,가디건
P00081,P00083,6,청바지,청바지
P00026,P00028,6,아우터,아우터
P00034,P00045,6,코트,코트
P00032,P00037,6,코트,코트
P00046,P00059,5,가디건,가디건
P00050,P00054,5,가디건,가디건
P00046,P00054,5,가디건,가디건
P00016,P00028,5,아우터,아우터
P00048,P00049,5,가디건,가디건
P00016,P00022,5,아우터,아우터
P00048,P00056,5,가디건,가디건
P00052,P00058,5,가디건,가디건
P00151,P00162,5,셔츠,셔츠
P00046,P00049,5,가디건,가디건
P00047,P00051,5,가디건,가디건
P00055,P00059,5,가디건,가디건
P00098,P00099,5,신발,신발
P00050,P00055,5,가디건,가디건
P00028,P00029,5,아우터,아우터
P00048,P00055,5,가디건,가디건
P00051,P00053,5,가디건,가디건
P00020,P00030,5,아우터,아우터
P00032,P00039,5,코트,코트
P00051,P00055,5,가디건,가디건
P00032,P00038,5,코트,코트
P00053,P00059,5,가디건,가디건
P00092,P00096,5,신발,신발
P00037,P00044,5,코트,코트
P00096,P00099,5,신발,신발
P00046,P00060,5,가디건,가디건
P00034,P00042,5,코트,코트
P00055,P00056,5,가디건,가디건
P00033,P00035,5,코트,코트
P00052,P00059,5,가디건,가디건
P00094,P00096,5,신발,신발
P00040,P00045,5,코트,코트
P00093,P00096,5,신발,신발
P00056,P00060,5,가디건,가디건
P00031,P00043,5,코트,코트
P00047,P00052,5,가디건,가디건
P00034,P00043,5,코트,코트
P00139,P00143,5,스커트,스커트
P00037,P00038,5,코트,코트
P00056,P00057,5,가디건,가디건
P00053,P00056,5,가디건,가디건
P00038,P00042,5,코트,코트
P00038,P00040,5,코트,코트
P00018,P00026,5,아우터,아우터
P00162,P00163,5,셔츠,셔츠
P00139,P00149,5,스커트,스커트
P00035,P00045,5,코트,코트
P00032,P00033,5,코트,코트
P00023,P00029,5,아우터,아우터
P00145,P00146,5,스커트,스커트
P00089,P00160,5,청바지,셔츠
P00092,P00097,5,신발,신발
P00019,P00023,5,아우터,아우터
P00172,P00178,5,스포츠웨어,스포츠웨어
P00172,P00180,5,스포츠웨어,스포츠웨어
P00023,P00026,5,아우터,아우터
P00039,P00045,5,코트,코트
P00124,P00133,5,액세서리,액세서리
P00039,P00043,5,코트,코트
P00035,P00037,5,코트,코트
P00026,P00029,5,아우터,아우터
P00037,P00042,5,코트,코트
P00049,P00050,5,가디건,가디건
P00168,P00171,4,스포츠웨어,스포츠웨어
P00018,P00030,4,아우터,아우터
P00048,P00052,4,가디건,가디건
P00019,P00025,4,아우터,아우터
P00019,P00022,4,아우터,아우터
P00136,P00141,4,스커트,스커트
P00017,P00022,4,아우터,아우터
P00035,P00042,4,코트,코트
P00151,P00161,4,셔츠,셔츠
P00021,P00028,4,아우터,아우터
P00021,P00024,4,아우터,아우터
P00137,P00138,4,스커트,스커트
P00051,P00057,4,가디건,가디건
P00017,P00019,4,아우터,아우터
P00091,P00092,4,신발,신발
P00036,P00038,4,코트,코트
P00033,P00045,4,코트,코트
P00048,P00053,4,가디건,가디건
P00099,P00105,4,신발,신발
P00035,P00038,4,코트,코트
P00089,P00165,4,청바지,셔츠
P00031,P00045,4,코트,코트
P00048,P00060,4,가디건,가디건
P00099,P00100,4,신발,신발
P00022,P00029,4,아우터,아우터
P00047,P00059,4,가디건,가디건
P00058,P00060,4,가디건,가디건
P00095,P00097,4,신발,신발
P00024,P00028,4,아우터,아우터
P00032,P00044,4,코트,코트
P00021,P00022,4,아우터,아우터
P00049,P00059,4,가디건,가디건
P00046,P00056,4,가디건,가디건
P00019,P00024,4,아우터,아우터
P00129,P00135,4,액세서리,액세서리
P00016,P00024,4,아우터,아우터
P00053,P00060,4,가디건,가디건
P00018,P00028,4,아우터,아우터
P00035,P00039,4,코트,코트
P00050,P00056,4,가디건,가디건
P00042,P00045,4,코트,코트
P00051,P00059,4,가디건,가디건
P00052,P00054,4,가디건,가디건
P00074,P00084,4,니트,청바지
P00056,P00058,4,가디건,가디건
P00153,P00158,4,셔츠,셔츠
P00024,P00030,4,아우터,아우터
P00057,P00058,4,가디건,가디건
P00018,P00023,4,아우터,아우터
P00017,P00025,4,아우터,아우터
P00169,P00178,4,스포츠웨어,스포츠웨어
P00040,P00043,4,코트,코트
P00151,P00163,4,셔츠,셔츠
P00033,P00037,4,코트,코트
P00033,P00044,4,코트,코트
P00016,P00021,4,아우터,아우터
P00056,P00059,4,가디건,가디건
P00022,P00030,4,아우터,아우터
P00017,P00026,4,아우터,아우터
P00052,P00056,4,가디건,가디건
P00023,P00025,4,아우터,아우터
P00034,P00037,4,코트,코트
P00081,P00111,3,청바지,가방
P00078,P00093,3,청바지,신발
P00118,P00162,3,가방,셔츠
P00089,P00156,3,청바지,셔츠
P00053,P00055,3,가디건,가디건
P00168,P00169,3,스포츠웨어,스포츠웨어
P00089,P00106,3,청바지,가방
P00033,P00038,3,코트,코트
P00021,P00026,3,아우터,아우터
P00167,P00174,3,스포츠웨어,스포츠웨어
P00044,P00065,3,코트,니트
P00166,P00174,3,스포츠웨어,스포츠웨어
P00016,P00017,3,아우터,아우터
P00170,P00180,3,스포츠웨어,스포츠웨어
P00075,P00145,3,니트,스커트
P00089,P00103,3,청바지,신발
P00118,P00159,3,가방,셔츠
P00022,P00025,3,아우터,아우터
P00017,P00028,3,아우터,아우터
P00075,P00086,3,니트,청바지
P00088,P00098,3,청바지,신발
P00015,P00122,3,원피스,액세서리
P00015,P00088,3,원피스,청바지
P00088,P00100,3,청바지,신발
P00088,P00092,3,청바지,신발
P00089,P00110,3,청바지,가방
P00022,P00026,3,아우터,아우터
P00166,P00169,3,스포츠웨어,스포츠웨어
P00065,P00089,3,니트,청바지
P00131,P00163,3,액세서리,셔츠
P00136,P00139,3,스커트,스커트
P00018,P00029,3,아우터,아우터
P00048,P00050,3,가디건,가디건
P00073,P00076,3,니트,청바지
P00089,P00114,3,청바지,가방
P00169,P00170,3,스포츠웨어,스포츠웨어
P00048,P00054,3,가디건,가디건
P00047,P00058,3,가디건,가디건
P00022,P00023,3,아우터,아우터
P00025,P00028,3,아우터,아우터
P00078,P00165,3,청바지,셔츠
P00079,P00095,3,청바지,신발
P00081,P00095,3,청바지,신발
P00007,P00098,3,원피스,신발
P00024,P00029,3,아우터,아우터
P00095,P00096,3,신발,신발
P00110,P00162,3,가방,셔츠
P00089,P00157,3,청바지,셔츠
P00002,P00122,3,원피스,액세서리
P00122,P00124,3,액세서리,액세서리
P00075,P00089,3,니트,청바지
P00091,P00097,3,신발,신발
P00170,P00172,3,스포츠웨어,스포츠웨어
P00046,P00058,3,가디건,가디건
P00013,P00110,3,원피스,가방
P00113,P00163,3,가방,셔츠
P00032,P00042,3,코트,코트
P00075,P00135,3,니트,액세서리
P00034,P00035,3,코트,코트
P00073,P00147,3,니트,스커트
P00020,P00024,3,아우터,아우터
P00006,P00110,3,원피스,가방
P00047,P00053,3,가디건,가디건
P00081,P00106,3,청바지,가방
P00017,P00021,3,아우터,아우터
P00017,P00030,3,아우터,아우터
P00013,P00104,3,원피스,신발
P00089,P00098,3,청바지,신발
P00063,P00087,3,니트,청바지
P00055,P00127,3,가디건,액세서리
P00068,P00150,3,니트,스커트
P00015,P00120,3,원피스,가방
P00074,P00087,3,니트,청바지
P00055,P00058,3,가디건,가디건
P00029,P00030,3,아우터,아우터
P00047,P00055,3,가디건,가디건
P00032,P00034,3,코트,코트
P00168,P00172,3,스포츠웨어,스포츠웨어
P00035,P00043,3,코트,코트
P00020,P00025,3,아우터,아우터
P00021,P00025,3,아우터,아우터
P00018,P00024,3,아우터,아우터
P00051,P00149,3,가디건,스커트
P00032,P00035,3,코트,코트
P00111,P00159,3,가방,셔츠
P00081,P00092,3,청바지,신발
P00070,P00087,3,니트,청바지
P00094,P00099,3,신발,신발
P00166,P00171,3,스포츠웨어,스포츠웨어
P00174,P00180,3,스포츠웨어,스포츠웨어
P00039,P00126,3,코트,액세서리
P00007,P00113,3,원피스,가방
P00006,P00106,2,원피스,가방
P00086,P00093,2,청바지,신발
P00077,P00157,2,청바지,셔츠
P00036,P00126,2,코트,액세서리
P00010,P00081,2,원피스,청바지
P00006,P00089,2,원피스,청바지
P00006,P00081,2,원피스,청바지
P00077,P00165,2,청바지,셔츠
P00076,P00091,2,청바지,신발
P00012,P00113,2,원피스,가방
P00107,P00153,2,가방,셔츠
P00008,P00163,2,원피스,셔츠
P00085,P00165,2,청바지,셔츠
P00054,P00146,2,가디건,스커트
P00083,P00156,2,청바지,셔츠
P00079,P00156,2,청바지,셔츠
P00045,P00129,2,코트,액세서리
P00079,P00164,2,청바지,셔츠
P00046,P00061,2,가디건,니트
P00074,P00090,2,니트,청바지
P00169,P00174,2,스포츠웨어,스포츠웨어
P00107,P00151,2,가방,셔츠
P00013,P00154,2,원피스,셔츠
P00081,P00110,2,청바지,가방
P00011,P00137,2,원피스,스커트
P00081,P00119,2,청바지,가방
P00061,P00160,2,니트,셔츠
P00062,P00158,2,니트,셔츠
P00011,P00143,2,원피스,스커트
P00111,P00134,2,가방,액세서리
P00010,P00110,2,원피스,가방
P00078,P00160,2,청바지,셔츠
P00015,P00137,2,원피스,스커트
P00002,P00080,2,원피스,청바지
P00037,P00073,2,코트,니트
P00106,P00159,2,가방,셔츠
P00061,P00159,2,니트,셔츠
P00100,P00137,2,신발,스커트
P00038,P00061,2,코트,니트
P00010,P00108,2,원피스,가방
P00067,P00087,2,니트,청바지
P00013,P00107,2,원피스,가방
P00110,P00163,2,가방,셔츠
P00010,P00106,2,원피스,가방
P00059,P00070,2,가디건,니트
P00113,P00162,2,가방,셔츠
P00063,P00130,2,니트,액세서리
P00067,P00084,2,니트,청바지
P00001,P00101,2,원피스,신발
P00074,P00158,2,니트,셔츠
P00071,P00160,2,니트,셔츠
P00063,P00160,2,니트,셔츠
P00063,P00158,2,니트,셔츠
P00090,P00102,2,청바지,신발
P00011,P00100,2,원피스,신발
P00107,P00161,2,가방,셔츠
P00074,P00128,2,니트,액세서리
P00079,P00102,2,청바지,신발
P00061,P00158,2,니트,셔츠
P00008,P00134,2,원피스,액세서리
P00055,P00145,2,가디건,스커트
P00060,P00128,2,가디건,액세서리
P00005,P00107,2,원피스,가방
P00132,P00156,2,액세서리,셔츠
P00132,P00153,2,액세서리,셔츠
P00171,P00173,2,스포츠웨어,스포츠웨어
P00079,P00092,2,청바지,신발
P00072,P00146,2,니트,스커트
P00072,P00140,2,니트,스커트
P00072,P00138,2,니트,스커트
P00090,P00119,2,청바지,가방
P00083,P00119,2,청바지,가방
P00014,P00164,2,원피스,셔츠
P00051,P00145,2,가디건,스커트
P00087,P00095,2,청바지,신발
P00087,P00093,2,청바지,신발
P00069,P00087,2,니트,청바지
P00019,P00030,2,아우터,아우터
P00033,P00034,2,코트,코트
P00100,P00150,2,신발,스커트
P00089,P00093,2,청바지,신발
P00080,P00172,2,청바지,스포츠웨어
P00070,P00123,2,니트,액세서리
P00103,P00172,2,신발,스포츠웨어
P00073,P00131,2,니트,액세서리
P00007,P00115,2,원피스,가방
P00032,P00043,2,코트,코트
P00067,P00150,2,니트,스커트
P00063,P00146,2,니트,스커트
P00072,P00150,2,니트,스커트
P00173,P00176,2,스포츠웨어,스포츠웨어
P00076,P00130,2,청바지,액세서리
P00013,P00095,2,원피스,신발
P00003,P00136,2,원피스,스커트
P00091,P00114,2,신발,가방
P00010,P00153,2,원피스,셔츠
P00067,P00147,2,니트,스커트
P00064,P00147,2,니트,스커트
P00016,P00025,2,아우터,아우터
P00006,P00117,2,원피스,가방
P00019,P00029,2,아우터,아우터
P00034,P00126,2,코트,액세서리
P00168,P00178,2,스포츠웨어,스포츠웨어
P00102,P00137,2,신발,스커트
P00101,P00141,2,신발,스커트
P00011,P00102,2,원피스,신발
P00061,P00150,2,니트,스커트
P00167,P00171,2,스포츠웨어,스포츠웨어
P00067,P00143,2,니트,스커트
P00064,P00143,2,니트,스커트
P00081,P00100,2,청바지,신발
P00085,P00129,2,청바지,액세서리
P00102,P00141,2,신발,스커트
P00045,P00128,2,코트,액세서리
P00012,P00098,2,원피스,신발
P00088,P00105,2,청바지,신발
P00088,P00101,2,청바지,신발
P00087,P00105,2,청바지,신발
P00087,P00101,2,청바지,신발
P00086,P00092,2,청바지,신발
P00087,P00092,2,청바지,신발
P00088,P00093,2,청바지,신발
P00026,P00078,2,아우터,청바지
P00041,P00128,2,코트,액세서리
P00039,P00128,2,코트,액세서리
P00017,P00023,2,아우터,아우터
P00002,P00137,2,원피스,스커트
P00065,P00130,2,니트,액세서리
P00071,P00145,2,니트,스커트
P00013,P00068,2,원피스,니트
P00143,P00152,2,스커트,셔츠
P00118,P00160,2,가방,셔츠
P00002,P00088,2,원피스,청바지
P00023,P00024,2,아우터,아우터
P00013,P00089,2,원피스,청바지
P00088,P00095,2,청바지,신발
P00020,P00027,2,아우터,아우터
P00178,P00179,2,스포츠웨어,스포츠웨어
P00038,P00129,2,코트,액세서리
P00042,P00120,2,코트,가방
P00082,P00113,2,청바지,가방
P00082,P00110,2,청바지,가방
P00125,P00135,2,액세서리,액세서리
P00035,P00059,2,코트,가디건
P00179,P00180,2,스포츠웨어,스포츠웨어
P00172,P00179,2,스포츠웨어,스포츠웨어
P00018,P00022,2,아우터,아우터
P00007,P00083,2,원피스,청바지
P00178,P00180,2,스포츠웨어,스포츠웨어
P00022,P00024,2,아우터,아우터
P00020,P00023,2,아우터,아우터
P00086,P00108,2,청바지,가방
P00089,P00108,2,청바지,가방
P00087,P00115,2,청바지,가방
P00166,P00176,2,스포츠웨어,스포츠웨어
P00079,P00160,2,청바지,셔츠
P00176,P00179,2,스포츠웨어,스포츠웨어
P00167,P00180,2,스포츠웨어,스포츠웨어
P00167,P00176,2,스포츠웨어,스포츠웨어
P00089,P00164,2,청바지,셔츠
P00042,P00075,2,코트,니트
P00065,P00086,2,니트,청바지
P00067,P00136,2,니트,스커트
P00002,P00109,2,원피스,가방
P00088,P00103,2,청바지,신발
P00050,P00123,2,가디건,액세서리
P00061,P00085,2,니트,청바지
P00068,P00083,2,니트,청바지
P00089,P00152,2,청바지,셔츠
P00080,P00152,2,청바지,셔츠
P00042,P00065,2,코트,니트
P00042,P00063,2,코트,니트
P00045,P00110,2,코트,가방
P00045,P00106,2,코트,가방
P00037,P00074,2,코트,니트
P00037,P00065,2,코트,니트
P00174,P00177,2,스포츠웨어,스포츠웨어
P00027,P00028,2,아우터,아우터
P00065,P00123,2,니트,액세서리
P00099,P00103,2,신발,신발
P00007,P00045,2,원피스,코트
P00048,P00051,2,가디건,가디건
P00024,P00026,2,아우터,아우터
P00060,P00133,2,가디건,액세서리
P00060,P00127,2,가디건,액세서리
P00116,P00162,2,가방,셔츠
P00116,P00159,2,가방,셔츠
P00086,P00101,2,청바지,신발
P00086,P00094,2,청바지,신발
P00007,P00110,2,원피스,가방
P00082,P00094,2,청바지,신발
P00101,P00163,2,신발,셔츠
P00138,P00155,2,스커트,셔츠
P00032,P00109,2,코트,가방
P00166,P00167,2,스포츠웨어,스포츠웨어
P00068,P00149,2,니트,스커트
P00168,P00170,2,스포츠웨어,스포츠웨어
P00111,P00129,2,가방,액세서리
P00087,P00094,2,청바지,신발
P00002,P00047,2,원피스,가디건
P00085,P00093,2,청바지,신발
P00081,P00099,2,청바지,신발
P00081,P00093,2,청바지,신발
P00046,P00127,2,가디건,액세서리
P00065,P00085,2,니트,청바지
P00009,P00048,2,원피스,가디건
P00145,P00157,2,스커트,셔츠
P00138,P00157,2,스커트,셔츠
P00138,P00154,2,스커트,셔츠
P00021,P00029,2,아우터,아우터
P00145,P00154,2,스커트,셔츠
P00012,P00087,2,원피스,청바지
P00068,P00129,2,니트,액세서리
P00044,P00063,2,코트,니트
P00041,P00065,2,코트,니트
P00086,P00107,2,청바지,가방
P00039,P00115,2,코트,가방
P00043,P00116,2,코트,가방
P00068,P00130,2,니트,액세서리
P00050,P00051,2,가디건,가디건
P00101,P00171,2,신발,스포츠웨어
P00053,P00148,2,가디건,스커트
P00057,P00130,2,가디건,액세서리
P00171,P00177,2,스포츠웨어,스포츠웨어
P00014,P00147,2,원피스,스커트
P00065,P00147,2,니트,스커트
P00008,P00125,2,원피스,액세서리
P00012,P00102,2,원피스,신발
P00014,P00115,2,원피스,가방
P00076,P00127,2,청바지,액세서리
P00049,P00131,2,가디건,액세서리
P00079,P00101,2,청바지,신발
P00080,P00164,2,청바지,셔츠
P00065,P00088,2,니트,청바지
P00055,P00140,2,가디건,스커트
P00125,P00156,2,액세서리,셔츠
P00121,P00153,2,액세서리,셔츠
P00008,P00077,2,원피스,청바지
P00010,P00107,2,원피스,가방
P00002,P00102,2,원피스,신발
P00044,P00110,2,코트,가방
P00040,P00110,2,코트,가방
P00003,P00044,2,원피스,코트
P00049,P00142,2,가디건,스커트
P00073,P00081,2,니트,청바지
P00101,P00168,2,신발,스포츠웨어
P00008,P00141,2,원피스,스커트
P00007,P00047,2,원피스,가디건
P00025,P00026,2,아우터,아우터
P00001,P00100,2,원피스,신발
P00001,P00099,2,원피스,신발
P00009,P00079,2,원피스,청바지
P00009,P00076,2,원피스,청바지
P00021,P00027,2,아우터,아우터
P00075,P00084,2,니트,청바지
P00049,P00127,2,가디건,액세서리
P00065,P00087,2,니트,청바지
P00075,P00088,2,니트,청바지
P00042,P00135,2,코트,액세서리
P00075,P00085,2,니트,청바지
P00072,P00121,2,니트,액세서리
P00070,P00131,2,니트,액세서리
P00102,P00172,2,신발,스포츠웨어
P00009,P00031,2,원피스,코트
P00015,P00116,2,원피스,가방
P00015,P00108,2,원피스,가방
P00006,P00031,2,원피스,코트
P00047,P00124,2,가디건,액세서리
P00004,P00084,2,원피스,청바지
P00172,P00175,2,스포츠웨어,스포츠웨어
P00156,P00170,2,셔츠,스포츠웨어
P00040,P00133,2,코트,액세서리
P00075,P00087,2,니트,청바지
P00039,P00109,2,코트,가방
P00012,P00162,2,원피스,셔츠
P00008,P00154,2,원피스,셔츠
P00103,P00160,2,신발,셔츠
P00061,P00086,2,니트,청바지
P00082,P00157,2,청바지,셔츠
P00049,P00062,2,가디건,니트
P00094,P00160,2,신발,셔츠
P00005,P00141,2,원피스,스커트
P00103,P00147,2,신발,스커트
P00084,P00111,2,청바지,가방
P00081,P00112,2,청바지,가방
P00129,P00153,2,액세서리,셔츠
P00047,P00127,2,가디건,액세서리
P00084,P00112,2,청바지,가방
P00019,P00021,2,아우터,아우터
P00102,P00150,2,신발,스커트
P00083,P00165,2,청바지,셔츠
P00083,P00160,2,청바지,셔츠
P00062,P00132,2,니트,액세서리
P00005,P00106,2,원피스,가방
P00003,P00140,2,원피스,스커트
P00134,P00150,2,액세서리,스커트
P00127,P00150,2,액세서리,스커트
P00090,P00110,2,청바지,가방
P00045,P00124,2,코트,액세서리
P00049,P00126,2,가디건,액세서리
P00022,P00027,2,아우터,아우터
P00067,P00090,2,니트,청바지
P00086,P00123,2,청바지,액세서리
P00054,P00147,2,가디건,스커트
P00104,P00144,2,신발,스커트
P00041,P00115,2,코트,가방
P00085,P00157,2,청바지,셔츠
P00076,P00165,2,청바지,셔츠
P00025,P00030,2,아우터,아우터
P00020,P00021,2,아우터,아우터
P00011,P00116,2,원피스,가방
P00007,P00116,2,원피스,가방
P00039,P00111,2,코트,가방
P00005,P00102,2,원피스,신발
P00075,P00092,2,니트,신발
P00011,P00047,2,원피스,가디건
P00174,P00179,2,스포츠웨어,스포츠웨어
P00005,P00127,2,원피스,액세서리
P00003,P00127,2,원피스,액세서리
P00106,P00138,2,가방,스커트
P00041,P00130,2,코트,액세서리
P00035,P00061,2,코트,니트
P00087,P00160,2,청바지,셔츠
P00035,P00073,2,코트,니트
P00058,P00059,2,가디건,가디건
P00074,P00079,2,니트,청바지
P00012,P00053,2,원피스,가디건
P00130,P00163,2,액세서리,셔츠
P00072,P00130,2,니트,액세서리
P00057,P00135,2,가디건,액세서리
P00057,P00129,2,가디건,액세서리
P00008,P00131,2,원피스,액세서리
P00090,P00105,2,청바지,신발
P00090,P00101,2,청바지,신발
P00003,P00137,2,원피스,스커트
P00048,P00059,2,가디건,가디건
P00169,P00177,2,스포츠웨어,스포츠웨어
P00045,P00121,2,코트,액세서리
P00033,P00110,2,코트,가방
P00011,P00054,2,원피스,가디건
P00170,P00173,2,스포츠웨어,스포츠웨어
P00167,P00173,2,스포츠웨어,스포츠웨어
P00013,P00098,2,원피스,신발
P00047,P00054,2,가디건,가디건
P00064,P00085,2,니트,청바지
P00173,P00180,2,스포츠웨어,스포츠웨어
P00172,P00173,2,스포츠웨어,스포츠웨어
P00168,P00180,2,스포츠웨어,스포츠웨어
P00047,P00149,2,가디건,스커트
P00007,P00099,2,원피스,신발
P00080,P00108,2,청바지,가방
P00070,P00140,2,니트,스커트
P00068,P00143,2,니트,스커트
P00086,P00095,2,청바지,신발
P00001,P00092,2,원피스,신발
P00089,P00151,2,청바지,셔츠
P00079,P00151,2,청바지,셔츠
P00036,P00079,2,코트,청바지
P00012,P00105,2,원피스,신발
P00066,P00126,2,니트,액세서리
P00066,P00125,2,니트,액세서리
P00057,P00074,2,가디건,니트
P00064,P00140,2,니트,스커트
P00038,P00121,2,코트,액세서리
P00007,P00085,2,원피스,청바지
P00172,P00174,2,스포츠웨어,스포츠웨어
P00006,P00115,2,원피스,가방
P00170,P00177,2,스포츠웨어,스포츠웨어
P00170,P00174,2,스포츠웨어,스포츠웨어
P00177,P00178,2,스포츠웨어,스포츠웨어
P00174,P00178,2,스포츠웨어,스포츠웨어
P00072,P00147,2,니트,스커트
P00104,P00148,2,신발,스커트
P00102,P00148,2,신발,스커트
P00050,P00058,2,가디건,가디건
P00119,P00159,2,가방,셔츠
P00010,P00122,2,원피스,액세서리
P00008,P00098,2,원피스,신발
P00043,P00110,2,코트,가방
P00049,P00129,2,가디건,액세서리
P00170,P00178,2,스포츠웨어,스포츠웨어
P00075,P00099,1,니트,신발
P00054,P00131,1,가디건,액세서리
P00060,P00131,1,가디건,액세서리
P00031,P00133,1,코트,액세서리
P00040,P00056,1,코트,가디건
P00056,P00133,1,가디건,액세서리
P00060,P00066,1,가디건,니트
P00001,P00046,1,원피스,가디건
P00042,P00164,1,코트,셔츠
P00054,P00066,1,가디건,니트
P00055,P00066,1,가디건,니트
P00042,P00157,1,코트,셔츠
P00042,P00161,1,코트,셔츠
